"","class","collection","date","point_id"
"1","Formação Florestal","mapbiomas_amazonia-v5","2000",1
"2","Vegetação Florestal","ibge_cobertura_uso_terra","2000",1
"3","Formação Florestal","mapbiomas_amazonia-v5","2001",1
"4","Formação Florestal","mapbiomas_amazonia-v5","2002",1
"5","Formação Florestal","mapbiomas_amazonia-v5","2003",1
"6","Floresta","terraclass_amazonia","2004",1
"7","Formação Florestal","mapbiomas_amazonia-v5","2004",1
"8","Formação Florestal","mapbiomas_amazonia-v5","2005",1
"9","Formação Florestal","mapbiomas_amazonia-v5","2006",1
"10","Formação Florestal","mapbiomas_amazonia-v5","2007",1
"11","Desmatamento","prodes_amazonia_legal","2008",1
"12","Desflorestamento","terraclass_amazonia","2008",1
"13","Pastagem","mapbiomas_amazonia-v5","2008",1
"14","Pastagem","mapbiomas_amazonia-v5","2009",1
"15","Regeneração com Pasto","terraclass_amazonia","2010",1
"16","Pastagem","mapbiomas_amazonia-v5","2010",1
"17","Mosaico de Ocupações em Área Florestal","ibge_cobertura_uso_terra","2010",1
"18","Pastagem","mapbiomas_amazonia-v5","2011",1
"19","Pasto Sujo","terraclass_amazonia","2012",1
"20","Pastagem","mapbiomas_amazonia-v5","2012",1
"21","Mosaico de Ocupações em Área Florestal","ibge_cobertura_uso_terra","2012",1
"22","Pastagem","mapbiomas_amazonia-v5","2013",1
"23","Pasto Limpo","terraclass_amazonia","2014",1
"24","Pastagem","mapbiomas_amazonia-v5","2014",1
"25","Mosaico de Ocupações em Área Florestal","ibge_cobertura_uso_terra","2014",1
"26","Pastagem","mapbiomas_amazonia-v5","2015",1
"27","Pastagem","mapbiomas_amazonia-v5","2016",1
"28","Mosaico de Ocupações em Área Florestal","ibge_cobertura_uso_terra","2016",1
"29","Pastagem","mapbiomas_amazonia-v5","2017",1
"30","Pastagem","mapbiomas_amazonia-v5","2018",1
"31","Mosaico de Ocupações em Área Florestal","ibge_cobertura_uso_terra","2018",1
