,class,collection,date
0,Formação Florestal,mapbiomas_amazonia-v5,2000
1,Vegetação Florestal,ibge_cobertura_uso_terra,2000
2,Formação Florestal,mapbiomas_amazonia-v5,2001
3,Formação Florestal,mapbiomas_amazonia-v5,2002
4,Formação Florestal,mapbiomas_amazonia-v5,2003
5,Floresta,terraclass_amazonia,2004
6,Formação Florestal,mapbiomas_amazonia-v5,2004
7,Formação Florestal,mapbiomas_amazonia-v5,2005
8,Formação Florestal,mapbiomas_amazonia-v5,2006
9,Formação Florestal,mapbiomas_amazonia-v5,2007
10,Desmatamento,prodes_amazonia_legal,2008
11,Desflorestamento,terraclass_amazonia,2008
12,Pastagem,mapbiomas_amazonia-v5,2008
13,Pastagem,mapbiomas_amazonia-v5,2009
14,Regeneração com Pasto,terraclass_amazonia,2010
15,Pastagem,mapbiomas_amazonia-v5,2010
16,Mosaico de Ocupações em Área Florestal,ibge_cobertura_uso_terra,2010
17,Pastagem,mapbiomas_amazonia-v5,2011
18,Pasto Sujo,terraclass_amazonia,2012
19,Pastagem,mapbiomas_amazonia-v5,2012
20,Mosaico de Ocupações em Área Florestal,ibge_cobertura_uso_terra,2012
21,Pastagem,mapbiomas_amazonia-v5,2013
22,Pasto Limpo,terraclass_amazonia,2014
23,Pastagem,mapbiomas_amazonia-v5,2014
24,Mosaico de Ocupações em Área Florestal,ibge_cobertura_uso_terra,2014
25,Pastagem,mapbiomas_amazonia-v5,2015
26,Pastagem,mapbiomas_amazonia-v5,2016
27,Mosaico de Ocupações em Área Florestal,ibge_cobertura_uso_terra,2016
28,Pastagem,mapbiomas_amazonia-v5,2017
29,Pastagem,mapbiomas_amazonia-v5,2018
30,Mosaico de Ocupações em Área Florestal,ibge_cobertura_uso_terra,2018
